Cod_INEtxt;Cod_iNEok;Mun;F2018Total;SuperfKm2;NOMBRE_ACT;Mun_NomCod;F2018Dens;Var91_18aa;Var91_18;Envejecimi;Bebes;Altitud;Pob18;Evo18;Envj18;Bebes18;M174_18;Pendiente;Alt3;Pend;M174_2018;Alt_0;Pend_0;M174_18_4;Cod_Prov;Envej18_2;Env2;Dif_env;M174_3;Dif_M174;M174_3_4;Dif_4;SSPA
44265;44265;44265-Vinaceite;249,00000000000;50,07591300000;Vinaceite;44265;4,97245052726;-1,34593241953;-30,64066852370;336,00000000000;2,81124497992;296,00000000000;3;3;2;2;11;3,18000000000;1;1;12;1;1;2;44;2;336,00000000000;0;12;0;2;0;1
44266;44266;44266-Visiedo;125,00000000000;55,53164600000;Visiedo;44266;2,25096875392;-2,85172631655;-54,21245421250;609,09090909100;4,80000000000;1186,00000000000;3;3;3;1;13;4,46000000000;3;1;14;3;1;3;44;3;609,09090909100;0;14;0;3;0;1
44267;44267;44267-Vivel del R├¡o Mart├¡n;79,00000000000;51,16321700000;Vivel del R├¡o Mart├¡n;44267;1,54407804341;-2,09694107015;-43,57142857140;1950,00000000000;0,00000000000;975,00000000000;3;3;3;3;14;13,48000000000;2;1;15;2;1;4;44;3;1950,00000000000;0;15;0;4;0;1
42191;42191;42191-Valdeavellano de Tera;193,00000000000;19,46093500000;Valdeavellano de Tera;42191;9,91730356224;-0,93912797173;-22,48995983940;1028,57142857000;2,07253886010;1123,00000000000;3;2;2;2;12;16,15000000000;3;2;14;3;2;3;42;3;1028,57142857000;-1;15;1;4;1;1
16001;16001;16001-Abia de la Obispal├¡a;64,00000000000;63,05470000000;Abia de la Obispal├¡a;16001;1,01499174526;-2,24045221447;-45,76271186440;3200,00000000000;0,00000000000;1022,00000000000;3;3;3;3;15;12,93000000000;3;1;16;3;1;4;16;3;3200,00000000000;0;16;0;4;0;1
16002;16002;16002-Acebr├│n, El;234,00000000000;22,10815600000;El Acebr├│n;16002;10,58432914980;-1,09489349547;-25,71428571430;380,95238095200;3,41880341880;764,00000000000;3;2;3;2;12;3,88000000000;2;1;13;2;1;3;16;2;380,95238095200;0;12;-1;2;-1;1
16225;16225;16225-Valdemorillo de la Sierra;66,00000000000;70,27333700000;Valdemorillo de la Sierra;16225;0,93918978118;-1,77361661031;-38,31775700930;0,00000000000;0,00000000000;1200,00000000000;3;3;3;3;15;14,77000000000;3;1;16;3;1;4;16;3;2700,00000000000;0;16;0;4;0;1
16227;16227;16227-Valdemoro-Sierra;113,00000000000;107,64020000000;Valdemoro-Sierra;16227;1,04979366445;-2,09235394219;-43,50000000000;685,71428571400;0,88495575221;1111,00000000000;3;3;3;3;15;20,95000000000;3;3;18;3;3;4;16;3;685,71428571400;0;18;0;4;0;1
16228;16228;16228-Valdeolivas;203,00000000000;46,04605500000;Valdeolivas;16228;4,40862957750;-1,66008513919;-36,36363636360;720,00000000000;0,98522167488;926,00000000000;3;3;3;3;14;9,72000000000;2;1;15;2;1;4;16;3;720,00000000000;0;15;0;4;0;1
16231;16231;16231-Valhermoso de la Fuente;48,00000000000;32,12467400000;Valhermoso de la Fuente;16231;1,49417858684;-1,33510180684;-30,43478260870;850,00000000000;4,16666666667;800,00000000000;3;3;3;1;12;5,00000000000;2;1;13;2;1;3;16;3;850,00000000000;0;13;0;3;0;1
16250;16250;16250-Villanueva de Guadamejud;70,00000000000;30,61179300000;Villanueva de Guadamejud;16250;2,28670042294;-2,71050434180;-52,38095238100;3000,00000000000;0,00000000000;812,00000000000;3;3;3;3;14;9,09000000000;2;1;15;2;1;4;16;3;3000,00000000000;0;15;0;4;0;1
16253;16253;16253-Villar de Ca├▒as;378,00000000000;70,36307200000;Villar de Ca├▒as;16253;5,37213611140;-1,12467090040;-26,31578947370;324,39024390200;2,38095238095;815,00000000000;3;2;3;2;12;4,48000000000;2;1;13;2;1;3;16;2;324,39024390200;0;12;-1;2;-1;1
16254;16254;16254-Villar de Domingo Garc├¡a;229,00000000000;76,88770000000;Villar de Domingo Garc├¡a;16254;2,97836975225;-0,98299437951;-23,41137123750;690,90909090900;2,18340611354;933,00000000000;3;2;3;2;12;10,54000000000;2;1;13;2;1;3;16;3;690,90909090900;0;13;0;3;0;1
16115;16115;16115-Laguna del Marquesado;45,00000000000;37,91376400000;Laguna del Marquesado;16115;1,18690404888;-1,67477042970;-36,61971830990;216,66666666700;6,66666666667;1319,00000000000;3;3;3;1;13;20,86000000000;3;3;16;3;3;4;16;2;216,66666666700;0;15;-1;4;0;1
44247;44247;44247-Valjunquera;325,00000000000;41,83658500000;Valjunquera;44247;7,76832047836;-1,38798898917;-31,43459915610;406,25000000000;3,07692307692;553,00000000000;3;3;3;2;13;9,20000000000;1;1;13;1;1;3;44;2;406,25000000000;0;12;-1;2;-1;1
44249;44249;44249-Vallecillo, El;48,00000000000;21,59458700000;El Vallecillo;44249;2,22277925482;2,44544142257;92,00000000000;2400,00000000000;0,00000000000;1418,00000000000;3;1;3;3;13;19,61000000000;3;2;15;3;2;4;44;3;2400,00000000000;0;15;0;4;0;1
44250;44250;44250-Veguillas de la Sierra;20,00000000000;13,66738500000;Veguillas de la Sierra;44250;1,46333771969;-1,83762914236;-39,39393939390;0,00000000000;0,00000000000;1268,00000000000;3;3;3;3;15;15,15000000000;3;2;17;3;2;4;44;3;1000,00000000000;0;17;0;4;0;1
16024;16024;16024-Arguisuelas;147,00000000000;49,61010600000;Arguisuelas;16024;2,96310594458;-1,36416378551;-30,98591549300;357,14285714300;2,04081632653;1044,00000000000;3;3;3;2;14;13,66000000000;3;1;15;3;1;4;16;2;357,14285714300;0;14;-1;3;-1;1
16025;16025;16025-Arrancacepas;26,00000000000;18,55774600000;Arrancacepas;16025;1,40103221587;-1,58283172588;-35,00000000000;0,00000000000;0,00000000000;936,00000000000;3;3;3;3;14;6,25000000000;2;1;15;2;1;4;16;3;1600,00000000000;0;15;0;4;0;1
16026;16026;16026-Atalaya del Ca├▒avate;95,00000000000;46,36053100000;Atalaya del Ca├▒avate;16026;2,04915685716;-1,45188660951;-32,62411347520;600,00000000000;0,00000000000;813,00000000000;3;3;3;3;14;4,11000000000;2;1;15;2;1;4;16;3;600,00000000000;0;15;0;4;0;1
16135;16135;16135-Moya;138,00000000000;91,73234200000;Moya;16135;1,50437672244;-3,02187615706;-56,32911392410;572,72727272700;0,00000000000;1136,00000000000;3;3;3;3;15;10,44000000000;3;1;16;3;1;4;16;3;572,72727272700;0;16;0;4;0;1
16137;16137;16137-Narboneta;43,00000000000;34,94887000000;Narboneta;16137;1,23036882165;-3,04138190512;-56,56565656570;0,00000000000;0,00000000000;850,00000000000;3;3;3;3;14;19,50000000000;2;2;16;2;2;4;16;3;2100,00000000000;0;16;0;4;0;1
